publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
food processing: principles and applications	9780813819426								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470289976		/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470289976		fulltext		Blackwell Pub.	monograph	2004			1st ed.	Smith			P
forex made easy: 6 ways to trade the dollar	9780071438940								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8309.0071445978	Dicks	/ebooks/ebooks2/pda/2011-12-01/1/8309.0071445978		fulltext		McGraw-Hill	monograph	2004							P
grammar of raising and control: a course in syntactic argumentation	9780631233015								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12016.9780470754726	Davies	/ebooks/ebooks2/pda/2011-12-01/1/12016.9780470754726		fulltext		Blackwell	monograph	2004							P
growing up with autism: working with school-age children and adolescents		9781593854591							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11265.1593857314		/ebooks/ebooks2/pda/2011-12-01/1/11265.1593857314		fulltext		Guilford Press	monograph	2007				Gabriels			P
history of modern computing	9780262532037								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11936.9780262532037	Ceruzzi	/ebooks/ebooks2/pda/2011-12-01/1/11936.9780262532037		fulltext		MIT Press	monograph	2003			2nd ed.				P
history of modern experimental psychology: from james and wundt to cognitive science		9780262134750							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10930.9780262134750	Mandler	/ebooks/ebooks2/pda/2011-12-01/1/10930.9780262134750		fulltext		MIT Press	monograph	2007							P
hvac engineer's handbook	9780750646062								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11149.9780750646062	Porges	/ebooks/ebooks2/pda/2011-12-01/1/11149.9780750646062		fulltext		Butterworth-Heinemann	monograph	2001			11th ed.				P
hydraulics of open channel flow: an introduction: basic principles, sediment motion, hydraulic modelling, design of hydraulic structures	9780750659789								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10456.0750659785	Chanson	/ebooks/ebooks2/pda/2011-12-01/1/10456.0750659785		fulltext		Elsevier Butterworth-Heinemann	monograph	2004			2nd ed.				P
in honor of fadime: murder and shame		9780226896861							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12713.9780226896908	Wikan	/ebooks/ebooks2/pda/2011-12-01/1/12713.9780226896908		fulltext		University of Chicago Press	monograph	2008			Revised and extended, partly rewritten version.				P
internet and the mass media		9781412947350							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15261.9781412947350		/ebooks/ebooks2/pda/2011-12-01/1/15261.9781412947350		fulltext		SAGE	monograph	2008				Küng			P
introduction to macromolecular crystallography		9780470185902							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13574.9780470391549	McPherson	/ebooks/ebooks2/pda/2011-12-01/1/13574.9780470391549		fulltext		Wiley-Blackwell	monograph	2009			2nd ed.				P
introduction to random signals and noise		9780470024119							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13555.9780470024126	Etten	/ebooks/ebooks2/pda/2011-12-01/1/13555.9780470024126		fulltext		Wiley	monograph	2005							P
laughter and ridicule: towards a social critique of laughter	9781412911436								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11764.9781412911436	Billig	/ebooks/ebooks2/pda/2011-12-01/1/11764.9781412911436		fulltext		Sage	monograph	2005							P
leading after a layoff: reignite your team's productivity quickly		9780071637152							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14383.0071639322	Salemi	/ebooks/ebooks2/pda/2011-12-01/1/14383.0071639322		fulltext		McGraw-Hill	monograph	2009							P
lithium-ion batteries: solid-electrolyte interphase	9781860943621								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/9205.1860943624		/ebooks/ebooks2/pda/2011-12-01/1/9205.1860943624		fulltext		Imperial College Press	monograph	2004				Balbuena			P
macbeth		9780470041567							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13566.9780470082515	Shakespeare	/ebooks/ebooks2/pda/2011-12-01/1/13566.9780470082515		fulltext		Wiley Pub.	monograph	2006							P
market risk analysis volume 1, quantitative methods in finance		9780470771020							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13559.9780470771020	Alexander	/ebooks/ebooks2/pda/2011-12-01/1/13559.9780470771020		fulltext		Wiley	monograph	2008							P
mastering project management: applying advanced concepts to systems thinking, control & evaluation, resource allocation		9780071462914							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11372.0071593373	Lewis	/ebooks/ebooks2/pda/2011-12-01/1/11372.0071593373		fulltext		McGraw-Hill	monograph	2008			2nd ed.				P
mathematical methods in survival analysis, reliability and quality of life		9781848210103							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15000.9780470393567		/ebooks/ebooks2/pda/2011-12-01/1/15000.9780470393567		fulltext		ISTE ; John Wiley	monograph	2008				Huber			P
mbr book: principles and applications of membrane bioreactors in water and wastewater treatment	9781856174817								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/9941.1856174816	Judd	/ebooks/ebooks2/pda/2011-12-01/1/9941.1856174816		fulltext		Elsevier	monograph	2006			1st ed.				P
methods for testing and evaluating survey questionnaires	9780471458418								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13561.9780471654735		/ebooks/ebooks2/pda/2011-12-01/1/13561.9780471654735		fulltext		John Wiley & Sons, Inc.	monograph	2004				Presser			P
microbiologically safe foods		9780470053331							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13572.9780470439067		/ebooks/ebooks2/pda/2011-12-01/1/13572.9780470439067		fulltext		John Wiley & Sons	monograph	2009				Heredia			P
midwife's labour and birth handbook	9780632059430								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10125.9780632059430		/ebooks/ebooks2/pda/2011-12-01/1/10125.9780632059430		fulltext		Blackwell Science	monograph	2003				Chapman			P
modern raman spectroscopy: a practical approach	9780471497943								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13571.9780470011829	Smith	/ebooks/ebooks2/pda/2011-12-01/1/13571.9780470011829		fulltext		J. Wiley	monograph	2005							P
